iter	RMSE
0	79.95856793
1	74.17091585
2	68.55728596
3	63.34306944
4	58.25892213
5	53.76690771
6	49.91280275
7	46.04201388
8	42.55800505
9	39.27584955
10	36.35691459
11	33.49214487
12	30.96822357
13	28.59727465
14	26.45545896
15	24.54412799
16	22.83457933
17	21.28436079
18	19.72218909
19	18.37493577
20	17.14554528
21	15.99351016
22	14.87415242
23	13.93666837
24	13.04450029
25	12.16505256
26	11.42090527
27	10.71650028
28	10.04412119
29	9.428418905
30	8.856255853
31	8.343670379
32	7.908001783
33	7.487832487
34	7.095408336
35	6.751973515
36	6.438272872
37	6.127702136
38	5.81078538
39	5.565477918
40	5.351848933
41	5.13701292
42	4.908606151
43	4.725227824
44	4.552776034
45	4.378091682
46	4.23159285
47	4.078646699
48	3.969078188
49	3.851642296
50	3.719982384
51	3.600358568
52	3.499070881
53	3.401826993
54	3.308491992
55	3.226628491
56	3.149946519
57	3.06104195
58	2.996611026
59	2.936617574
60	2.907309728
61	2.854904201
62	2.813325164
63	2.746486162
64	2.709664637
65	2.683524272
66	2.651185591
67	2.631632717
68	2.61262152
69	2.584662095
70	2.566778896
71	2.538384807
72	2.512901659
73	2.482454001
74	2.46799009
75	2.454371096
76	2.440858386
77	2.428587312
78	2.417906468
79	2.406130469
80	2.396225137
81	2.385935963
82	2.359085904
83	2.349677696
84	2.305657849
85	2.297197998
86	2.289453098
87	2.282075434
88	2.275048309
89	2.241681783
90	2.235081418
91	2.228613722
92	2.222844244
93	2.173088808
94	2.167657754
95	2.162486337
96	2.157562575
97	2.152884802
98	2.148414741
99	2.104407078
