iter	Passed	Remaining
0	1	120
1	2	109
2	3	102
3	4	100
4	5	97
5	6	97
6	7	94
7	7	91
8	8	89
9	9	87
10	10	85
11	11	84
12	12	82
13	13	82
14	14	81
15	15	81
16	16	81
17	17	80
18	18	79
19	19	77
20	20	77
21	21	76
22	22	75
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	30	62
33	31	61
34	32	61
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	44	49
47	45	48
48	46	48
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	51	41
55	52	40
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	77	16
82	78	15
83	79	15
84	79	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	88	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
