iter	Passed	Remaining
0	373	372726
1	374	187008
2	375	124934
3	376	93872
4	378	75238
5	379	62798
6	380	53907
7	380	47237
8	381	42058
9	382	37903
10	383	34506
11	384	31675
12	385	29286
13	386	27238
14	387	25464
15	388	23909
16	390	22552
17	391	21341
18	392	20257
19	393	19269
20	394	18378
21	395	17565
22	396	16823
23	396	16144
24	397	15518
25	398	14940
26	399	14402
27	400	13906
28	401	13449
29	402	13026
30	404	12639
31	405	12269
32	406	11918
33	407	11579
34	408	11262
35	409	10965
36	410	10680
37	411	10414
38	412	10160
39	413	9918
40	414	9688
41	415	9471
42	416	9264
43	417	9063
44	418	8872
45	419	8694
46	420	8530
47	421	8363
48	422	8202
49	423	8047
50	424	7899
51	425	7758
52	426	7620
53	427	7487
54	428	7359
55	429	7236
56	430	7118
57	431	7003
58	432	6893
59	433	6789
60	434	6691
61	435	6594
62	436	6497
63	437	6402
64	438	6312
65	439	6222
66	440	6137
67	441	6053
68	442	5973
69	443	5894
70	444	5819
71	445	5744
72	446	5671
73	447	5601
74	448	5532
75	449	5470
76	451	5410
77	452	5345
78	453	5282
79	454	5222
80	454	5162
81	455	5103
82	456	5042
83	457	4988
84	458	4934
85	459	4882
86	460	4829
87	461	4778
88	461	4729
89	463	4684
90	464	4642
91	465	4597
92	466	4552
93	467	4508
94	468	4466
95	469	4423
96	470	4382
97	471	4342
98	472	4303
99	473	4265
100	474	4226
101	475	4188
102	476	4151
103	477	4115
104	478	4081
105	480	4050
106	481	4015
107	482	3982
108	483	3948
109	484	3916
110	484	3883
111	485	3851
112	486	3821
113	487	3791
114	488	3761
115	489	3731
116	490	3700
117	491	3672
118	492	3644
119	494	3622
120	495	3599
121	496	3571
122	497	3546
123	498	3519
124	499	3493
125	500	3468
126	500	3442
127	501	3417
128	502	3394
129	503	3370
130	504	3347
131	505	3324
132	506	3301
133	507	3280
134	509	3261
135	510	3240
136	511	3219
137	512	3198
138	512	3177
139	513	3157
140	514	3137
141	515	3114
142	516	3095
143	517	3075
144	518	3056
145	519	3037
146	520	3018
147	521	3000
148	522	2983
149	523	2968
150	525	2952
151	526	2934
152	526	2917
153	527	2899
154	528	2882
155	529	2866
156	530	2850
157	531	2834
158	532	2817
159	533	2802
160	534	2784
161	535	2768
162	536	2753
163	537	2738
164	538	2725
165	539	2711
166	540	2696
167	541	2681
168	542	2666
169	543	2653
170	544	2638
171	545	2625
172	546	2611
173	547	2597
174	548	2584
175	549	2570
176	549	2557
177	550	2543
178	551	2531
179	553	2520
180	554	2509
181	555	2496
182	556	2484
183	557	2472
184	558	2459
185	559	2447
186	560	2435
187	561	2423
188	562	2411
189	562	2399
190	563	2388
191	564	2377
192	565	2366
193	567	2356
194	568	2346
195	569	2336
196	570	2325
197	571	2314
198	572	2304
199	573	2293
200	574	2282
201	575	2272
202	576	2262
203	577	2251
204	578	2241
205	578	2231
206	579	2221
207	580	2211
208	581	2201
209	583	2194
210	584	2185
211	585	2177
212	586	2168
213	588	2160
214	589	2151
215	590	2141
216	591	2132
217	591	2123
218	592	2114
219	593	2105
220	594	2096
221	595	2087
222	596	2079
223	598	2072
224	599	2064
225	600	2056
226	601	2047
227	602	2039
228	603	2031
229	604	2023
230	605	2015
231	606	2007
232	607	1999
233	608	1991
234	609	1984
235	610	1976
236	611	1969
237	613	1963
238	614	1956
239	615	1949
240	616	1941
241	617	1934
242	618	1926
243	619	1919
244	620	1912
245	621	1905
246	622	1898
247	623	1890
248	624	1883
249	625	1876
250	626	1870
251	628	1865
252	629	1859
253	631	1853
254	632	1846
255	633	1840
256	634	1834
257	635	1828
258	636	1822
259	638	1815
260	639	1810
261	640	1805
262	642	1801
263	644	1795
264	645	1790
265	646	1784
266	647	1778
267	649	1772
268	650	1767
269	651	1762
270	653	1756
271	654	1751
272	655	1746
273	657	1741
274	658	1736
275	659	1730
276	660	1725
277	662	1719
278	663	1713
279	664	1708
280	665	1702
281	667	1699
282	669	1695
283	672	1694
284	673	1689
285	674	1684
286	675	1678
287	676	1673
288	677	1667
289	679	1662
